ele,time,extensions/speed,extensions/course,extensions/hAcc,extensions/vAcc,_lon,_lat
51.457183,2024-07-29T22:04:07Z,2.576083,30.011458,1.564580,0.826927,-73.617301,45.555345
51.502465,2024-07-29T22:04:08Z,2.537287,28.399319,1.564498,0.826887,-73.617285,45.555365
51.546100,2024-07-29T22:04:09Z,2.553485,25.401408,1.565780,0.826811,-73.617270,45.555385
51.583486,2024-07-29T22:04:10Z,2.579857,26.062377,1.568398,0.826703,-73.617256,45.555406
51.623042,2024-07-29T22:04:11Z,2.624927,27.040034,1.569260,0.826617,-73.617241,45.555427
51.645632,2024-07-29T22:04:12Z,2.563921,28.017421,1.568600,0.826532,-73.617226,45.555447
51.678021,2024-07-29T22:04:13Z,2.462976,26.074867,1.574649,0.826440,-73.617211,45.555468
51.694598,2024-07-29T22:04:14Z,2.296250,24.259825,1.584401,0.826340,-73.617198,45.555487
51.691812,2024-07-29T22:04:15Z,1.924427,19.726463,1.594081,0.826262,-73.617188,45.555505
51.698586,2024-07-29T22:04:16Z,1.521348,14.704247,1.599119,0.826190,-73.617181,45.555520
51.671573,2024-07-29T22:04:17Z,1.244516,13.112391,1.601200,0.826129,-73.617177,45.555532
51.660891,2024-07-29T22:04:18Z,1.253457,15.456152,1.593981,0.826100,-73.617173,45.555543
51.634946,2024-07-29T22:04:19Z,1.734381,21.011325,1.591145,0.826112,-73.617166,45.555555
51.638920,2024-07-29T22:04:20Z,2.403894,26.330734,1.597883,0.826179,-73.617155,45.555572
51.616096,2024-07-29T22:04:21Z,2.776116,30.559412,1.603040,0.826311,-73.617139,45.555593
51.616280,2024-07-29T22:04:22Z,2.834470,30.467677,1.592838,0.826503,-73.617121,45.555614
51.603398,2024-07-29T22:04:23Z,2.713662,29.171920,1.579556,0.826742,-73.617103,45.555636
51.617906,2024-07-29T22:04:24Z,2.721383,27.016786,1.570316,0.826994,-73.617087,45.555658
51.613886,2024-07-29T22:04:25Z,2.754603,27.174681,1.560280,0.827255,-73.617070,45.555680
51.625565,2024-07-29T22:04:26Z,2.776787,25.664767,1.556792,0.827504,-73.617055,45.555702
51.621558,2024-07-29T22:04:27Z,2.766581,28.370122,1.554725,0.827728,-73.617038,45.555724
51.638124,2024-07-29T22:04:28Z,2.688896,28.909300,1.554547,0.827929,-73.617022,45.555746
51.649319,2024-07-29T22:04:29Z,2.751831,33.260812,1.548542,0.828105,-73.617004,45.555767
51.668352,2024-07-29T22:04:30Z,2.731497,37.559139,1.550458,0.828255,-73.616984,45.555787
51.692607,2024-07-29T22:04:31Z,2.746261,37.591903,1.553649,0.828379,-73.616962,45.555806
51.694426,2024-07-29T22:04:32Z,2.739459,36.348315,1.553723,0.828480,-73.616941,45.555826
51.701949,2024-07-29T22:04:33Z,2.826443,33.505336,1.555287,0.828545,-73.616921,45.555847
51.696836,2024-07-29T22:04:34Z,2.813583,32.325950,1.553922,0.828588,-73.616901,45.555868
51.684943,2024-07-29T22:04:35Z,2.775924,33.956533,1.558408,0.828615,-73.616881,45.555889
51.661267,2024-07-29T22:04:36Z,2.723044,31.324701,1.561287,0.828627,-73.616862,45.555910
51.628745,2024-07-29T22:04:37Z,2.669426,30.363555,1.561272,0.828626,-73.616844,45.555931
51.581093,2024-07-29T22:04:38Z,2.709433,26.826496,1.562210,0.828615,-73.616828,45.555952
51.528978,2024-07-29T22:04:39Z,2.756507,27.729114,1.562378,0.828596,-73.616812,45.555974
51.459862,2024-07-29T22:04:40Z,2.814045,28.369239,1.562616,0.828567,-73.616795,45.555996
51.393561,2024-07-29T22:04:41Z,2.913455,30.479500,1.563743,0.828532,-73.616777,45.556019
51.319069,2024-07-29T22:04:42Z,2.936391,30.951515,1.565732,0.828484,-73.616757,45.556041
51.251058,2024-07-29T22:04:43Z,2.949206,28.635610,1.562126,0.828437,-73.616739,45.556064
51.173364,2024-07-29T22:04:44Z,2.907735,30.469128,1.560624,0.828390,-73.616720,45.556087
51.087691,2024-07-29T22:04:45Z,2.940693,31.164336,1.562238,0.828380,-73.616701,45.556110
50.999857,2024-07-29T22:04:46Z,2.845303,32.438445,1.562826,0.828388,-73.616681,45.556132
